Steirereck im Stadtpark§Am Heumarkt 2a, Vienna, 1030, Austria§Vienna§Austria§€€€€§Creative, Contemporary§16.3815669§48.2043967§+4317133168§0§true§true§The architecture is the first thing you notice! Located in the Stadtpark, the building has a futuristic feel. The interior is bright and airy, featuring clean lines and elegant modern design; you can look into the kitchen through the pass. The clever division of the space into different wings creates a calm and relaxed atmosphere. The exceptional politeness and utmost professionalism of the service team ensure that you feel welcome and comfortable from the moment you arrive. Special mention goes to Birgit Reitbauer, an exemplary hostess, and sommelier René Antrag, for his superb wine recommendations – the perfect complement to Heinz Reitbauer and Michael Bauböck's distinctive, creative and often surprising cuisine. At lunchtime and in the evening, a six- or seven-course set menu is proposed, with an additional fantastic à la carte selection available in the evening. You can also compose your own four-or five-course set menu at lunchtime. The restaurant's bread and cheese trolley is renowned far beyond the city limits – the staff will enthusiastically talk you through the options.§1§0§
Jungsik New York§2 Harrison St., New York, 10013, USA§New York§USA§$$$$§Korean, Contemporary§-74.0091114§40.7187256§+12122190900§0§false§false§Cool and polished, this dining room bears that perfectly downtown nexus of low-key yet elegant; with its dark and light color scheme and intimate proportions. Chef/owner Mr. Yim Jung Sik and Executive Chef Daeik Kim's Korean meal starts like many do, with an array of banchan; however, the presentation here is unlike any other; and it's just that creativity that makes dining here so distinctive. From there, the tasting menu unfolds to reveals delights such as slivers of raw striped jack with white kimchi and chilled fish bone broth; gorgeously crisped octopus with gochujang aioli; and dry-aged Arctic char in a pool of kimchi and red curry sauce. This is cooking that is highly original, impeccably executed, and enormously satisfying; a meal that makes you involuntarily nod to yourself while you’re eating.§3§0§
Per Se§10 Columbus Circle, New York, 10019, USA§New York§USA§$$$$§Contemporary, French§-73.9825882§40.7680545§+12128239335§0§false§true§An experience at Thomas Keller’s Per Se is one to be savored, recounted and remembered. Despite stellar views and a clever design allowing each table a view, your attention won’t stray from the plate. Such is the appeal of the place.There are two menus, one of which is vegetarian and may highlight a playful twist on borscht, with red beet agnolotti and crème fraîche. Both menus end in a grand dessert finale, like seasonal confections as well as such classics as a cappuccino semifreddo served with brioche donuts. They do offer supplements using lavish ingredients, but unless you’re richer than Croesus, you needn’t consider them. Just put yourself in the chef's hands and relish a meal that is balanced, varied and as seasonal as it gets.§4§0§
Le Bernardin§155 W. 51st St., New York, 10019, USA§New York§USA§$$$$§Seafood§-73.98223§40.76177§+12125541515§0§true§false§Maguy Le Coze and Eric Ripert’s icon has been entertaining the city’s movers and shakers for close to 30 years and its popularity remains undimmed. Seafood restaurants have no hiding place when it comes to cooking fish or crustaceans and this kitchen always hits its marks—whether that’s lusciously sweet, seared langoustine in a truffled broth or golden-brown fluke with a bouillabaisse enriched with sea urchin. While seafood remains Ripert's passion, his vegetarian tasting menu makes waves with dishes like the Himalayan morel, spring pea and fava bean casserole or the warm artichoke panaché with vegetable risotto and Périgord black truffle vinaigrette. Finish with purple sweet potato baba au whisky cloaked with caramelized pecan whipped cream.§5§0§
Eleven Madison Park§11 Madison Ave., New York, 10010, USA§New York§USA§$$$$§Vegan, Innovative§-73.9872414§40.7415543§+12128890905§0§true§true§Chef Daniel Humm presides over this temple of modern elegance with a zealous dedication to masterful precision. Nothing is out of place and everything is custom made, from the staff’s suits to the handblown water vases.The plant-based menu is a bold vision of luxury dining and elevates the concept to unparalleled heights. The freshly baked, delicately crisped vegan roll presented with faux butter is a magical creation. A quenelle of tonburi, mimicking caviar, plated with horseradish cream and accompanied by a radish tostada with a swipe of pumpkin seed butter is simply stunning. Toothsome braised seitan, wrapped in spinach and dressed with morels, is amplified with luscious sauce work.Desserts, perhaps a frozen cherry blossom and rose confection dressed with strawberries, are equally accomplished.§6§0§
Masa§10 Columbus Circle, New York, 10019, USA§New York§USA§$$$$§Japanese, Sushi§-73.98234§40.76819§+12128239800§0§false§true§There is nothing like an omakase in the care of Chef Masa Takayama. The commotion of Columbus Circle gives way to the calm, collected ceremony of a room anchored by a strikingly smooth hinoki counter. Everything is in place, as chefs and servers work with a kind of harmony that recalls ballet. Every decision, every move, is in the service of his distinctive style, which many have copied but none have mastered. Fragrant white and black truffles, pearly beads of Osetra caviar, and vibrant garnishes make for brilliant touches that straddle the line between luxury and excess. Few have both the imagination and the know-how to make foie gras nigiri, and few serve abalone so meltingly tender. It is a captivating experience that is singularly memorable.§7§0§
The Inn at Little Washington§309 Middle St., Washington, 22747, USA§Washington§USA§$$$$§American, French§-78.1595348§38.7134767§+15406753800§0§false§false§Chef Patrick O’Connell has long been the steward of this idyllic restaurant just outside Washington. In a town whose very existence seems tied to his success, dinner here recalls another era. The dining room is embellished to the very last inch, with fringe and fabric all over, patterned carpets, and lush wallpaper. The menu is divided between classics and vegetables, most of which are sourced locally and from the team’s own garden. Dinner always begins with pimento cheese packed into a crisp chip and ends with a playful pear dessert. In between, courses like lobster with caviar beurre blanc show the kitchen at its very best. And all throughout, roaming bread and cheese carts are a reminder of a luxury that’s less and less common.§8§0§
Smyth§177 N. Ada St., Chicago, 60607, USA§Chicago§USA§$$$$§Contemporary, Creative§-87.6606324§41.8850485§+17739133773§0§false§true§The very chic Smyth with its lounge styling and open kitchen is helmed by Chefs John Shields and Karen Urie-Shields. Their cooking is bold and often pushes boundaries, all the while impressing. Sheer creativity is applied to seasonal produce, some of which comes from their garden. A quail egg, gently smoked and topped with caviar, is given a twist with barley caramel. Resting inside its shell, plump Maine uni, amplified with a divine peach gel and wasabi cream, is both stunning and memorable. The chef's creativity is on full display in an utterly unique Dungeness crab dish, while wagyu sided by a truffle-flavored doughnut with marrow glaze is yet another hit. Savory sweets, like new potato ice cream, a corn macaron with peppery nasturtium, or the dark chocolate tartlet studded with kombu, raise the bar.§9§0§
Alinea§1723 N. Halsted St., Chicago, 60614, USA§Chicago§USA§$$$$§Creative, Modern Cuisine§-87.648174§41.9132737§+13128670110§0§false§true§Chef Grant Achatz continues to burst with novel ideas at this ingenious, substantive, and festive temple. Dining here is part theater and pure pleasure; and meals are an olfactory experience by dint of scented vapors, tricks, and tableside fun.Executive Chef Douglas Alley is firmly in play, turning out whimsical items that are at times experimental. For starters, a custom resin dish bearing cured Arctic char, crowned by crisped skin glazed with maple syrup. The dish is then flipped to reveal roe suspended in smoke gel. The flavors of Thailand follow in salt-baked kohlrabi shaved tableside. The meal meets its dramatic end with a Paint dessert—think of a Pollock-esque creation with blueberries and a liquid N2-frozen block of chocolate mousse smashed to bits.§10§0§
Sorn§56 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok, 10110, Thailand§Bangkok§Thailand§฿฿฿฿§Southern Thai§100.5684937§13.7231336§+66990811119§0§true§true§Immerse yourself in the food culture of Southern Thailand, with the exquisite cooking of self-taught Chef-Owner Supaksorn Jongsiri. Blending tradition with modernity, refinement with evolution, his perfectly paced menu offers an array of exhilarating flavours, all of which are in perfect harmony. Whether Tapi River prawns, Phuket lobster or Andaman squid, the ingredients will be truly stunning. The whole experience will more than make up for the very thorough process involved in securing a table.§11§0§
